id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,43,201,US
https://openalex.org/A5047404909,Aaron J. Schwartz,https://api.openalex.org/works?filter=author.id:A5047404909,8,23,US
https://openalex.org/A5039072983,Aaron Schein,https://api.openalex.org/works?filter=author.id:A5039072983,7,28,US
https://openalex.org/A5015211752,Aaron Smith,https://api.openalex.org/works?filter=author.id:A5015211752,37,157,GB
https://openalex.org/A5014825255,Sayed Haidar Abbas Raza,https://api.openalex.org/works?filter=author.id:A5014825255,22,168,CN
https://openalex.org/A5065944706,Abby Smith,https://api.openalex.org/works?filter=author.id:A5065944706,7,41,US
https://openalex.org/A5086636153,Abdulkadir Çelikkanat,https://api.openalex.org/works?filter=author.id:A5086636153,3,32,DK
https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,10,47,US
https://openalex.org/A5063098095,Abeer ElBahrawy,https://api.openalex.org/works?filter=author.id:A5063098095,6,17,GB
https://openalex.org/A5081180913,Adam Finnemann,https://api.openalex.org/works?filter=author.id:A5081180913,3,7,NL
https://openalex.org/A5011035455,Adam Frank,https://api.openalex.org/works?filter=author.id:A5011035455,51,555,US
https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,2,23,HU
https://openalex.org/A5007222407,Adam Sutton,https://api.openalex.org/works?filter=author.id:A5007222407,7,53,US
https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,12,38,NL
https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6,17,DE
https://openalex.org/A5037220308,Agnieszka Faleńska,https://api.openalex.org/works?filter=author.id:A5037220308,7,24,DE
https://openalex.org/A5035102250,Ahmad Hesam,https://api.openalex.org/works?filter=author.id:A5035102250,10,27,NL
https://openalex.org/A5011368152,Aidan Combs,https://api.openalex.org/works?filter=author.id:A5011368152,3,7,US
https://openalex.org/A5068083728,Akeela Careem,https://api.openalex.org/works?filter=author.id:A5068083728,2,6,US
https://openalex.org/A5075314395,Akhil Arora,https://api.openalex.org/works?filter=author.id:A5075314395,12,58,US
https://openalex.org/A5012462832,Akira Hashimoto,https://api.openalex.org/works?filter=author.id:A5012462832,25,445,JP
https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,50,644,JP
https://openalex.org/A5055236010,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5055236010,7,74,NL
https://openalex.org/A5014662127,Alain Barrat,https://api.openalex.org/works?filter=author.id:A5014662127,65,324,FR
https://openalex.org/A5032323046,Alba Motes‐Rodrigo,https://api.openalex.org/works?filter=author.id:A5032323046,8,37,CH
https://openalex.org/A5025323154,Albert László Barabási,https://api.openalex.org/works?filter=author.id:A5025323154,78,170,US
https://openalex.org/A5066444267,Alejandro Ortega‐Beltran,https://api.openalex.org/works?filter=author.id:A5066444267,19,76,NG
https://openalex.org/A5041940377,Alejandro Dinkelberg,https://api.openalex.org/works?filter=author.id:A5041940377,3,9,IE
https://openalex.org/A5015951926,Alejandro Hermida Carrillo,https://api.openalex.org/works?filter=author.id:A5015951926,1,9,DE
https://openalex.org/A5026969792,Aleksandra Urman,https://api.openalex.org/works?filter=author.id:A5026969792,9,75,CH
https://openalex.org/A5001710037,Alessandro De Gaetano,https://api.openalex.org/works?filter=author.id:A5001710037,1,5,IT
https://openalex.org/A5034213821,Alessandro Flamini,https://api.openalex.org/works?filter=author.id:A5034213821,4,39,IT
https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,57,216,IT
https://openalex.org/A5018108132,Alessandro Lomi,https://api.openalex.org/works?filter=author.id:A5018108132,30,181,CH
https://openalex.org/A5025069859,Alessia Antelmi,https://api.openalex.org/works?filter=author.id:A5025069859,4,22,IT
https://openalex.org/A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,34,108,IT
https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,88,590,US
https://openalex.org/A5047198701,Alexander J. Gates,https://api.openalex.org/works?filter=author.id:A5047198701,12,35,US
https://openalex.org/A5056559023,Alexander Volfovsky,https://api.openalex.org/works?filter=author.id:A5056559023,9,95,US
https://openalex.org/A5038217519,Alexandra Florea,https://api.openalex.org/works?filter=author.id:A5038217519,7,43,US
https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,11,33,SE
https://openalex.org/A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,17,109,BR
https://openalex.org/A5010352723,Alexandros Gelastopoulos,https://api.openalex.org/works?filter=author.id:A5010352723,2,13,DK
https://openalex.org/A5060724128,Ali Faqeeh,https://api.openalex.org/works?filter=author.id:A5060724128,7,10,US
https://openalex.org/A5023841588,Ali Salloum,https://api.openalex.org/works?filter=author.id:A5023841588,3,6,FI
https://openalex.org/A5079753964,Ali Yassin,https://api.openalex.org/works?filter=author.id:A5079753964,13,69,FR
https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,7,39,DE
https://openalex.org/A5074849242,Aliaksandr Herasimenka,https://api.openalex.org/works?filter=author.id:A5074849242,1,5,US
https://openalex.org/A5083809979,Alice Battiston,https://api.openalex.org/works?filter=author.id:A5083809979,1,6,IT
https://openalex.org/A5033341922,Alice Grishchenko,https://api.openalex.org/works?filter=author.id:A5033341922,3,11,US
https://openalex.org/A5035786206,Alice Xiang,https://api.openalex.org/works?filter=author.id:A5035786206,7,44,US
https://openalex.org/A5008115861,Alina Sîrbu,https://api.openalex.org/works?filter=author.id:A5008115861,14,82,IT
https://openalex.org/A5087471530,Allison Koenecke,https://api.openalex.org/works?filter=author.id:A5087471530,5,32,US
https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,6,30,IL
https://openalex.org/A5088276589,Amin Mekacher,https://api.openalex.org/works?filter=author.id:A5088276589,3,11,GB
https://openalex.org/A5063277598,Amir Ebrahimi Fard,https://api.openalex.org/works?filter=author.id:A5063277598,4,18,NL
https://openalex.org/A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,4,18,US
https://openalex.org/A5003121162,Amir Goldberg,https://api.openalex.org/works?filter=author.id:A5003121162,14,72,US
https://openalex.org/A5070972999,Amy Gimma,https://api.openalex.org/works?filter=author.id:A5070972999,29,89,GB
https://openalex.org/A5010691256,Amy Smith,https://api.openalex.org/works?filter=author.id:A5010691256,11,42,US
https://openalex.org/A5082470478,Ana Júlia Bonzanini Bernardi,https://api.openalex.org/works?filter=author.id:A5082470478,1,22,BR
https://openalex.org/A5011326378,Ana Macanovic,https://api.openalex.org/works?filter=author.id:A5011326378,1,6,NL
