id,publication_year,cited_by_count,coauthor_ids
https://openalex.org/W3103362336,2009,6206,"['https://openalex.org/A5014647140', 'https://openalex.org/A5082953212', 'https://openalex.org/A5067142016']"
https://openalex.org/W2157082398,2008,1871,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989', 'https://openalex.org/A5067142016']"
https://openalex.org/W2043890595,2006,1006,"['https://openalex.org/A5025218537', 'https://openalex.org/A5014662127', 'https://openalex.org/A5061287527', 'https://openalex.org/A5046546654']"
https://openalex.org/W2095072199,2005,713,['https://openalex.org/A5014647140']
https://openalex.org/W2154656661,2011,686,"['https://openalex.org/A5024684865', 'https://openalex.org/A5014075764', 'https://openalex.org/A5014662127', 'https://openalex.org/A5069885186', 'https://openalex.org/A5052897496', 'https://openalex.org/A5061327254']"
https://openalex.org/W1965715402,2004,600,"['https://openalex.org/A5061287527', 'https://openalex.org/A5014662127', 'https://openalex.org/A5016146759', 'https://openalex.org/A5046546654']"
https://openalex.org/W2096296558,2005,446,"['https://openalex.org/A5061287527', 'https://openalex.org/A5014662127', 'https://openalex.org/A5016146759', 'https://openalex.org/A5046546654']"
https://openalex.org/W2102017123,2015,393,"['https://openalex.org/A5014647140', 'https://openalex.org/A5027903946', 'https://openalex.org/A5027079032']"
https://openalex.org/W2150587298,2015,360,"['https://openalex.org/A5058144931', 'https://openalex.org/A5076015541', 'https://openalex.org/A5014662127']"
https://openalex.org/W2513567506,2017,354,"['https://openalex.org/A5072266097', 'https://openalex.org/A5027079032', 'https://openalex.org/A5014647140']"
https://openalex.org/W3103423414,2019,341,"['https://openalex.org/A5052553537', 'https://openalex.org/A5063367289', 'https://openalex.org/A5014662127', 'https://openalex.org/A5027706684']"
https://openalex.org/W2115682136,2007,310,"['https://openalex.org/A5014647140', 'https://openalex.org/A5000038347', 'https://openalex.org/A5032779977']"
https://openalex.org/W2118027753,2012,294,"['https://openalex.org/A5034406723', 'https://openalex.org/A5014662127', 'https://openalex.org/A5036258938', 'https://openalex.org/A5069885186', 'https://openalex.org/A5074039936', 'https://openalex.org/A5021346979']"
https://openalex.org/W2069033904,2008,239,"['https://openalex.org/A5045667142', 'https://openalex.org/A5014662127']"
https://openalex.org/W2029766371,2014,226,"['https://openalex.org/A5076015541', 'https://openalex.org/A5014662127']"
https://openalex.org/W3101685104,2014,224,"['https://openalex.org/A5004728031', 'https://openalex.org/A5045620226', 'https://openalex.org/A5014647140']"
https://openalex.org/W2074562205,2014,180,"['https://openalex.org/A5078066191', 'https://openalex.org/A5014647140']"
https://openalex.org/W3106390811,2015,166,"['https://openalex.org/A5032539868', 'https://openalex.org/A5080298742', 'https://openalex.org/A5076015541', 'https://openalex.org/A5020199695', 'https://openalex.org/A5059871346', 'https://openalex.org/A5014662127']"
https://openalex.org/W3103626019,2017,151,"['https://openalex.org/A5063098095', 'https://openalex.org/A5070463669', 'https://openalex.org/A5015642711', 'https://openalex.org/A5016146759', 'https://openalex.org/A5068182184']"
https://openalex.org/W2585057539,2017,149,"['https://openalex.org/A5014647140', 'https://openalex.org/A5027079032', 'https://openalex.org/A5038377848']"
https://openalex.org/W3102665918,2018,148,"['https://openalex.org/A5032539868', 'https://openalex.org/A5014662127']"
https://openalex.org/W2803148772,2018,132,"['https://openalex.org/A5070463669', 'https://openalex.org/A5063098095', 'https://openalex.org/A5034406723', 'https://openalex.org/A5068182184']"
https://openalex.org/W3131154112,2021,109,"['https://openalex.org/A5054519023', 'https://openalex.org/A5048132210', 'https://openalex.org/A5049918895', 'https://openalex.org/A5027079032', 'https://openalex.org/A5071165387', 'https://openalex.org/A5014647140']"
https://openalex.org/W2991581987,2019,105,"['https://openalex.org/A5023997241', 'https://openalex.org/A5023775697', 'https://openalex.org/A5061483794', 'https://openalex.org/A5011368152', 'https://openalex.org/A5013262618', 'https://openalex.org/A5077079991', 'https://openalex.org/A5073459923', 'https://openalex.org/A5056559023']"
https://openalex.org/W3023751895,2020,98,"['https://openalex.org/A5064296964', 'https://openalex.org/A5071122166', 'https://openalex.org/A5044564004', 'https://openalex.org/A5039803674', 'https://openalex.org/A5087990460', 'https://openalex.org/A5067118505']"
https://openalex.org/W2086752980,2006,177,"['https://openalex.org/A5035958229', 'https://openalex.org/A5068182184', 'https://openalex.org/A5014662127', 'https://openalex.org/A5070657345']"
https://openalex.org/W2046759954,2007,176,"['https://openalex.org/A5025218537', 'https://openalex.org/A5014662127', 'https://openalex.org/A5061287527', 'https://openalex.org/A5046546654']"
https://openalex.org/W2087622110,2008,164,"['https://openalex.org/A5054324923', 'https://openalex.org/A5045667142', 'https://openalex.org/A5014662127']"
https://openalex.org/W2079844646,2006,143,"['https://openalex.org/A5089831647', 'https://openalex.org/A5063648924', 'https://openalex.org/A5014647140', 'https://openalex.org/A5008033989']"
https://openalex.org/W1988115140,2010,131,"['https://openalex.org/A5014075764', 'https://openalex.org/A5014662127', 'https://openalex.org/A5022368086']"
https://openalex.org/W4289253397,2010,121,"['https://openalex.org/A5036258938', 'https://openalex.org/A5014662127', 'https://openalex.org/A5069885186', 'https://openalex.org/A5074039936', 'https://openalex.org/A5021346979']"
